id1	id2	phi
1	3	0.5
1	4	0.5
2	3	0.5
2	4	0.5
3	4	0.5
5	7	0.5
5	8	0.5
6	7	0.5
6	8	0.5
7	8	0.5
9	11	0.5
9	12	0.5
9	13	0.5
10	11	0.5
10	12	0.5
10	13	0.5
11	12	0.5
11	13	0.5
12	13	0.5
14	16	0.5
15	16	0.5
17	19	0.5
18	19	0.5
20	22	0.5
20	23	0.5
21	22	0.5
21	23	0.5
22	23	0.5
24	26	0.5
24	27	0.5
25	26	0.5
25	27	0.5
26	27	0.5
28	30	0.5
28	31	0.5
28	32	0.5
29	30	0.5
29	31	0.5
29	32	0.5
30	31	0.5
30	32	0.5
31	32	0.5
33	35	0.5
33	36	0.5
34	35	0.5
34	36	0.5
35	36	0.5
37	39	0.5
37	40	0.5
38	39	0.5
38	40	0.5
39	40	0.5
41	43	0.5
41	44	0.5
42	43	0.5
42	44	0.5
43	44	0.5
45	47	0.5
45	48	0.5
46	47	0.5
46	48	0.5
47	48	0.5
49	51	0.5
49	52	0.5
50	51	0.5
50	52	0.5
51	52	0.5
53	55	0.5
53	56	0.5
53	57	0.5
54	55	0.5
54	56	0.5
54	57	0.5
55	56	0.5
55	57	0.5
56	57	0.5
58	60	0.5
58	61	0.5
59	60	0.5
59	61	0.5
60	61	0.5
62	64	0.5
62	65	0.5
63	64	0.5
63	65	0.5
64	65	0.5
66	68	0.5
66	69	0.5
67	68	0.5
67	69	0.5
68	69	0.5
70	72	0.5
70	73	0.5
71	72	0.5
71	73	0.5
72	73	0.5
74	76	0.5
74	77	0.5
75	76	0.5
75	77	0.5
76	77	0.5
78	80	0.5
78	81	0.5
79	80	0.5
79	81	0.5
80	81	0.5
82	84	0.5
82	85	0.5
82	86	0.5
83	84	0.5
83	85	0.5
83	86	0.5
84	85	0.5
84	86	0.5
85	86	0.5
87	89	0.5
87	90	0.5
88	89	0.5
88	90	0.5
89	90	0.5
91	93	0.5
91	94	0.5
92	93	0.5
92	94	0.5
93	94	0.5
95	97	0.5
95	98	0.5
96	97	0.5
96	98	0.5
97	98	0.5
99	101	0.5
99	102	0.5
100	101	0.5
100	102	0.5
101	102	0.5
103	105	0.5
103	106	0.5
104	105	0.5
104	106	0.5
105	106	0.5
107	109	0.5
107	110	0.5
108	109	0.5
108	110	0.5
109	110	0.5
111	113	0.5
111	114	0.5
112	113	0.5
112	114	0.5
113	114	0.5
115	116	0.5
115	117	0.5
115	118	0.5
116	117	0.5
116	118	0.5
116	119	0.5
116	120	0.5
117	118	0.5
117	119	0.5
117	120	0.5
118	119	0.5
118	120	0.5
121	123	0.5
121	124	0.5
122	123	0.5
122	124	0.5
123	124	0.5
125	127	0.5
125	128	0.5
126	127	0.5
126	128	0.5
127	128	0.5
129	131	0.5
129	132	0.5
130	131	0.5
130	132	0.5
131	132	0.5
133	135	0.5
133	136	0.5
134	135	0.5
134	136	0.5
135	136	0.5
137	139	0.5
138	139	0.5
140	142	0.5
140	143	0.5
141	142	0.5
141	143	0.5
142	143	0.5
144	146	0.5
144	147	0.5
145	146	0.5
145	147	0.5
146	147	0.5
148	150	0.5
148	151	0.5
149	150	0.5
149	151	0.5
150	151	0.5
152	154	0.5
152	155	0.5
153	154	0.5
153	155	0.5
154	155	0.5
156	158	0.5
156	159	0.5
157	158	0.5
157	159	0.5
158	159	0.5
160	162	0.5
160	163	0.5
161	162	0.5
161	163	0.5
162	163	0.5
164	165	0.5
165	166	0.5
167	169	0.5
167	170	0.5
168	169	0.5
168	170	0.5
169	170	0.5
171	173	0.5
171	174	0.5
172	173	0.5
172	174	0.5
173	174	0.5
175	177	0.5
175	178	0.5
176	177	0.5
176	178	0.5
177	178	0.5
179	181	0.5
179	182	0.5
180	181	0.5
180	182	0.5
181	182	0.5
183	185	0.5
183	186	0.5
184	185	0.5
184	186	0.5
185	186	0.5
187	189	0.5
187	190	0.5
188	189	0.5
188	190	0.5
189	190	0.5
191	193	0.5
192	193	0.5
194	196	0.5
194	197	0.5
195	196	0.5
195	197	0.5
196	197	0.5
198	200	0.5
198	201	0.5
198	202	0.5
199	200	0.5
199	201	0.5
199	202	0.5
200	201	0.5
200	202	0.5
201	202	0.5
203	205	0.5
203	206	0.5
203	207	0.5
204	205	0.5
204	206	0.5
204	207	0.5
205	206	0.5
205	207	0.5
206	207	0.5
208	210	0.5
208	211	0.5
209	210	0.5
209	211	0.5
210	211	0.5
212	214	0.5
212	215	0.5
213	214	0.5
213	215	0.5
214	215	0.5
216	218	0.5
216	219	0.5
217	218	0.5
217	219	0.5
218	219	0.5
220	222	0.5
220	223	0.5
221	222	0.5
221	223	0.5
222	223	0.5
224	226	0.5
224	227	0.5
225	226	0.5
225	227	0.5
226	227	0.5
228	230	0.5
228	231	0.5
229	230	0.5
229	231	0.5
230	231	0.5
232	234	0.5
232	235	0.5
233	234	0.5
233	235	0.5
234	235	0.5
236	238	0.5
236	239	0.5
237	238	0.5
237	239	0.5
238	239	0.5
240	242	0.5
240	243	0.5
240	244	0.5
241	242	0.5
241	243	0.5
241	244	0.5
242	243	0.5
242	244	0.5
243	244	0.5
245	247	0.5
245	248	0.5
246	247	0.5
246	248	0.5
247	248	0.5
249	251	0.5
249	252	0.5
250	251	0.5
250	252	0.5
251	252	0.5
253	254	0.5
253	255	0.5
254	255	0.5
254	256	0.5
255	256	0.5
257	259	0.5
257	260	0.5
257	261	0.5
258	259	0.5
258	260	0.5
258	261	0.5
259	260	0.5
259	261	0.5
260	261	0.5
262	264	0.5
262	265	0.5
263	264	0.5
263	265	0.5
264	265	0.5
266	268	0.5
266	269	0.5
267	268	0.5
267	269	0.5
268	269	0.5
270	272	0.5
270	273	0.5
271	272	0.5
271	273	0.5
272	273	0.5
274	276	0.5
274	277	0.5
274	278	0.5
275	276	0.5
275	277	0.5
275	278	0.5
276	277	0.5
276	278	0.5
277	278	0.5
279	281	0.5
279	282	0.5
279	283	0.5
280	281	0.5
280	282	0.5
280	283	0.5
281	282	0.5
281	283	0.5
282	283	0.5
284	286	0.5
284	287	0.5
285	286	0.5
285	287	0.5
286	287	0.5
290	292	0.5
290	293	0.5
291	292	0.5
291	293	0.5
292	293	0.5
294	296	0.5
294	297	0.5
294	298	0.5
295	296	0.5
295	297	0.5
295	298	0.5
296	297	0.5
296	298	0.5
297	298	0.5
299	301	0.5
299	302	0.5
300	301	0.5
300	302	0.5
301	302	0.5
303	305	0.5
303	306	0.5
304	305	0.5
304	306	0.5
305	306	0.5
307	309	0.5
307	310	0.5
307	311	0.5
